ell,Cl_TT,Cl_TT_err,Cl_LCDM,Cl_residual,sigma_cv,weight,mask_flag
2,980,110,1080,-100,105,0.0091,0
3,930,106,1020,-90,100,0.0094,0
4,895,102,980,-85,96,0.0098,0
5,872,98,960,-88,93,0.0102,0
6,850,95,945,-95,90,0.0105,0
7,838,93,932,-94,88,0.0108,0
8,828,91,920,-92,86,0.0110,0
9,819,89,910,-91,84,0.0112,0
10,812,88,902,-90,83,0.0114,0
11,806,87,895,-89,82,0.0116,0
12,800,86,888,-88,81,0.0118,0
13,795,85,882,-87,80,0.0120,0
14,791,84,876,-85,79,0.0122,0
15,788,83,871,-83,78,0.0124,0
16,785,82,866,-81,77,0.0126,0
17,782,81,862,-80,76,0.0128,0
18,780,80,858,-78,75,0.0130,0
19,778,79,855,-77,74,0.0132,0
20,776,78,852,-76,73,0.0134,0
21,774,78,849,-75,72,0.0136,0
22,773,77,846,-73,71,0.0138,0
23,772,77,844,-72,70,0.0140,0
24,771,76,842,-71,69,0.0142,0
25,770,76,840,-70,68,0.0144,0
26,769,75,838,-69,67,0.0146,0
27,768,75,836,-68,66,0.0148,0
28,767,74,834,-67,65,0.0150,0
29,766,74,832,-66,64,0.0152,0
30,765,73,830,-65,63,0.0154,0
