ell,Cl_TT,Cl_TT_err,Cl_LCDM,Cl_residual,sigma_cv,weight,mask_flag
2,1035.0,90.0,1085.0,-50.0,82.0,1.0,0
3,1002.0,87.0,1048.0,-46.0,79.0,1.0,0
4,968.0,84.0,1014.0,-46.0,76.0,1.0,0
5,944.0,82.0,992.0,-48.0,74.0,1.0,0
6,922.0,80.0,972.0,-50.0,72.0,1.0,0
7,905.0,78.0,955.0,-50.0,70.0,1.0,0
8,892.0,76.0,941.0,-49.0,68.0,1.0,0
9,882.0,75.0,929.0,-47.0,67.0,1.0,0
10,874.0,74.0,919.0,-45.0,66.0,1.0,0
11,867.0,73.0,910.0,-43.0,65.0,1.0,0
12,862.0,72.0,902.0,-40.0,64.0,1.0,0
13,858.0,71.0,895.0,-37.0,63.0,1.0,0
14,855.0,70.0,889.0,-34.0,62.0,1.0,0
15,853.0,69.0,884.0,-31.0,61.0,1.0,0
16,851.0,68.0,879.0,-28.0,60.0,1.0,0
17,850.0,67.0,875.0,-25.0,59.0,1.0,0
18,849.0,66.0,871.0,-22.0,58.0,1.0,0
19,848.0,65.0,868.0,-20.0,57.0,1.0,0
20,847.0,64.0,865.0,-18.0,56.0,1.0,0
21,846.0,64.0,863.0,-17.0,55.0,1.0,0
22,845.0,63.0,861.0,-16.0,54.0,1.0,0
23,844.0,63.0,859.0,-15.0,53.0,1.0,0
24,843.0,62.0,857.0,-14.0,52.0,1.0,0
25,842.0,62.0,855.0,-13.0,51.0,1.0,0
26,841.0,61.0,853.0,-12.0,50.0,1.0,0
27,840.0,61.0,851.0,-11.0,49.0,1.0,0
28,839.0,60.0,849.0,-10.0,48.0,1.0,0
29,838.0,60.0,847.0,-9.0,47.0,1.0,0
30,837.0,59.0,845.0,-8.0,46.0,1.0,0
